region,state,zip3,Number of Records,postal_cd_key
Midwest,IA,513,1,51360
Midwest,IA,513,1,51363
Midwest,IA,513,1,51364
Midwest,IA,513,1,51365
Midwest,IA,513,1,51366
Midwest,IA,514,1,51401
Midwest,IA,514,1,51430
Midwest,IA,514,1,51431
Midwest,IA,514,1,51432
Midwest,IA,514,1,51433
Midwest,IA,514,1,51436
Midwest,IA,514,1,51439
Midwest,IA,514,1,51440
Midwest,IA,514,1,51441
Midwest,IA,514,1,51442
Midwest,IA,514,1,51443
Midwest,IA,514,1,51444
Midwest,IA,514,1,51445
Midwest,IA,514,1,51446
Midwest,IA,514,1,51447
Midwest,IA,514,1,51448
Midwest,IA,514,1,51449
Midwest,IA,514,1,51450
Midwest,IA,514,1,51451
Midwest,IA,514,1,51452
Midwest,IA,514,1,51453
Midwest,IA,514,1,51454
Midwest,IA,514,1,51455
Midwest,IA,514,1,51458
Midwest,IA,514,1,51459
Midwest,IA,514,1,51460
Midwest,IA,514,1,51461
Midwest,IA,514,1,51462
Midwest,IA,514,1,51463
Midwest,IA,514,1,51465
Midwest,IA,514,1,51466
Midwest,IA,514,1,51467
Midwest,IA,515,1,51501
Midwest,IA,515,1,51502
Midwest,IA,515,1,51503
Midwest,IA,515,1,51510
Midwest,IA,515,1,51520
Midwest,IA,515,1,51521
Midwest,IA,515,1,51523
Midwest,IA,515,1,51525
Midwest,IA,515,1,51526
Midwest,IA,515,1,51527
Midwest,IA,515,1,51528
Midwest,IA,515,1,51529
Midwest,IA,515,1,51530
Midwest,IA,515,1,51531
Midwest,IA,515,1,51532
Midwest,IA,515,1,51533
Midwest,IA,515,1,51534
Midwest,IA,515,1,51535
Midwest,IA,515,1,51536
Midwest,IA,515,1,51537
Midwest,IA,515,1,51540
Midwest,IA,515,1,51541
Midwest,IA,515,1,51542
Midwest,IA,515,1,51543
Midwest,IA,515,1,51544
Midwest,IA,515,1,51545
Midwest,IA,515,1,51546
Midwest,IA,515,1,51548
Midwest,IA,515,1,51549
